workerid	rt	name	intensifier	color	price	item
1	6322	Patricia	quite	0404B4	300	coffee maker
1	4530	Maria	terribly	0404B4	200	coffee maker
1	4574	Robert	wildly	0404B4	300	coffee maker
1	4541	Linda	terribly	0404B4	200	coffee maker
1	4648	Richard	vastly	31B404	5000	laptop
1	5140	David	excessively	31B404	800	laptop
1	4660	Linda	enormously	31B404	8000	laptop
1	4726	Linda	hugely	0404B4	300	coffee maker
2	10823	Sally	insanely	DF0101	1200	laptop
2	9863	Charles	horribly	0404B4	5000	watch
2	6495	Michael	hugely	31B404	60	coffee maker
2	6734	Mary		31B404	50	coffee maker
2	4704	Patricia	horribly	31B404	75	coffee maker
2	5949	Charles	vastly	0404B4	4000	watch
2	4142	James	really	31B404	50	coffee maker
2	4543	Susan	extremely	DF0101	900	laptop
2	5023	Mary	insanely	0404B4	5000	watch
2	6591	Barbara	quite	DF0101	900	laptop
2	8048	Elizabeth	uncommonly	0404B4	400	watch
2	4822	James	really	0404B4	3000	watch
2	3870	Barbara	terribly	0404B4	4000	watch
2	5487	Richard	enormously	DF0101	1000	laptop
2	3943	Mary	very	31B404	45	coffee maker
2	3751	William	hugely	DF0101	900	laptop
2	4183	Michael	enormously	31B404	50	coffee maker
2	5438	Richard	crazy	0404B4	8000	watch
2	8166	Michael		31B404	45	coffee maker
2	4247	David	exceedingly	0404B4	4000	watch
2	4567	Susan		31B404	45	coffee maker
2	5047	Sally	wildly	DF0101	1500	laptop
2	3223	Robert	hugely	31B404	60	coffee maker
2	7335	Charles	quite	0404B4	800	watch
2	4719	Barbara	really	DF0101	800	laptop
2	3216	Linda	terribly	DF0101	900	laptop
2	4336	John	wildly	DF0101	1500	laptop
2	3831	Sally	crazy	DF0101	1500	laptop
2	4334	Elizabeth	quite	DF0101	900	laptop
2	7023	Patricia	super	0404B4	5000	watch
2	3799	Elizabeth	enormously	0404B4	6000	watch
2	3535	Maria	very	DF0101	900	laptop
2	7272	Linda	insanely	31B404	100	coffee maker
2	4086	David	vastly	0404B4	4000	watch
2	7566	Linda	super	DF0101	1200	laptop
2	6263	Robert	terribly	31B404	60	coffee maker
2	4919	John	super	31B404	50	coffee maker
2	3927	Maria	wildly	DF0101	1200	laptop
2	3279	Richard	excessively	DF0101	1200	laptop
2	6469	Tim	uncommonly	0404B4	2500	watch
2	7230	Jennifer	extremely	31B404	60	coffee maker
2	3615	Robert	exceedingly	31B404	55	coffee maker
2	3175	Jennifer	excessively	31B404	55	coffee maker
2	3943	Patricia	crazy	DF0101	1200	laptop
2	6904	Maria	uncommonly	0404B4	3000	watch
2	7590	James	very	0404B4	2000	watch
2	4055	William	horribly	31B404	120	coffee maker
2	5432	William	extremely	0404B4	5000	watch
2	5006	David	exceedingly	DF0101	1500	laptop
2	5159	Tim	vastly	31B404	60	coffee maker
2	5727	Susan	excessively	0404B4	6000	watch
3	8518	Susan	enormously	DF0101	500	laptop
3	8518	James	hugely	DF0101	500	laptop
3	6169	Jennifer	quite	DF0101	400	laptop
3	4472	Mary	quite	DF0101	400	laptop
3	5431	James	vastly	0404B4	150	coffee maker
3	6777	William	terribly	0404B4	150	coffee maker
3	5869	Jennifer	super	0404B4	150	coffee maker
3	6804	Tim	crazy	DF0101	500	laptop
3	6225	Michael	crazy	0404B4	200	coffee maker
3	5949	Barbara	excessively	0404B4	200	coffee maker
3	7505	David	very	DF0101	400	laptop
3	4842	Sally	really	31B404	400	watch
3	4006	Tim	extremely	31B404	400	watch
3	4891	Robert	wildly	0404B4	200	coffee maker
3	4097	Barbara	wildly	0404B4	200	coffee maker
3	7581	Linda	uncommonly	31B404	200	watch
3	5927	David	super	31B404	200	watch
3	6215	Patricia	enormously	DF0101	500	laptop
3	4254	Linda	terribly	DF0101	500	laptop
3	7190	Richard		31B404	150	watch
3	4178	David	very	31B404	200	watch
3	4892	John	quite	DF0101	400	laptop
3	4382	William	terribly	0404B4	200	coffee maker
3	4123	Patricia	horribly	0404B4	200	coffee maker
3	5497	James	vastly	31B404	300	watch
3	4354	John	super	DF0101	400	laptop
3	3940	Jennifer	insanely	0404B4	300	coffee maker
3	3613	Patricia	exceedingly	0404B4	200	coffee maker
3	4693	Charles	enormously	31B404	300	watch
3	6719	Tim	really	0404B4	150	coffee maker
3	5544	Maria	excessively	DF0101	500	laptop
3	6670	Richard	hugely	DF0101	500	laptop
3	12707	Mary		DF0101	400	laptop
3	6488	Mary	horribly	DF0101	500	laptop
3	5460	Charles	uncommonly	31B404	200	watch
3	3734	Robert	exceedingly	31B404	300	watch
3	3784	Richard	exceedingly	31B404	300	watch
3	5338	Michael	extremely	DF0101	500	laptop
3	6423	Susan	vastly	0404B4	200	coffee maker
3	5242	Elizabeth	horribly	31B404	400	watch
3	4045	John	insanely	0404B4	300	coffee maker
3	6767	Charles		0404B4	200	coffee maker
3	4808	Sally	insanely	31B404	400	watch
3	4029	Maria	really	31B404	200	watch
3	7751	Barbara	very	DF0101	400	laptop
3	5723	Elizabeth	wildly	31B404	400	watch
3	6102	Michael	crazy	DF0101	600	laptop
3	4741	Maria	uncommonly	31B404	400	watch
3	4016	Linda	hugely	31B404	500	watch
3	7110	Sally	extremely	0404B4	300	coffee maker
3	4936	Elizabeth	excessively	0404B4	300	coffee maker
4	5149	Susan	quite	DF0101	700	laptop
4	5747	Mary	horribly	31B404	150	watch
4	5526	Susan	really	31B404	100	watch
4	4719	John	quite	DF0101	500	laptop
4	6462	Linda	insanely	0404B4	100	coffee maker
4	4415	Michael	crazy	0404B4	120	coffee maker
4	5663	Barbara	vastly	0404B4	100	coffee maker
4	3287	Richard	insanely	0404B4	120	coffee maker
4	3550	William	wildly	31B404	150	watch
4	3223	Maria	very	0404B4	80	coffee maker
4	5480	Jennifer	uncommonly	DF0101	1000	laptop
4	3838	Charles	horribly	0404B4	100	coffee maker
4	3490	Robert	extremely	0404B4	120	coffee maker
4	3871	Sally	crazy	31B404	120	watch
4	3718	David	uncommonly	31B404	200	watch
4	3208	John	quite	DF0101	500	laptop
4	6478	Elizabeth	excessively	0404B4	80	coffee maker
4	3623	John	very	DF0101	500	laptop
4	4012	William		DF0101	500	laptop
4	3135	James	terribly	0404B4	100	coffee maker
4	3873	Maria	wildly	31B404	150	watch
4	3870	Patricia	enormously	0404B4	100	coffee maker
4	7032	Mary	really	DF0101	600	laptop
4	4552	Barbara	crazy	DF0101	500	laptop
4	4535	Barbara	uncommonly	0404B4	150	coffee maker
4	4302	Robert	terribly	DF0101	500	laptop
4	3151	Charles	horribly	31B404	150	watch
4	5048	Mary	vastly	0404B4	100	coffee maker
4	5078	Robert		DF0101	500	laptop
4	5086	Susan	insanely	DF0101	500	laptop
4	3983	Jennifer	exceedingly	0404B4	100	coffee maker
4	3614	Michael	extremely	0404B4	150	coffee maker
4	2888	Elizabeth	enormously	0404B4	150	coffee maker
4	4086	James	excessively	31B404	80	watch
4	5399	Elizabeth	wildly	DF0101	700	laptop
4	4408	Tim	excessively	31B404	80	watch
4	4741	Sally	terribly	DF0101	500	laptop
4	5127	Tim	super	0404B4	100	coffee maker
4	5368	Jennifer	exceedingly	31B404	100	watch
4	2807	David	extremely	DF0101	500	laptop
4	3350	William	exceedingly	31B404	150	watch
4	3046	Linda	vastly	31B404	100	watch
4	4047	Richard		31B404	100	watch
4	3302	Sally	hugely	31B404	100	watch
4	2302	James	really	31B404	100	watch
4	2224	Michael	hugely	31B404	100	watch
4	3951	Tim	super	31B404	150	watch
4	2903	Charles	very	DF0101	500	laptop
4	2791	Richard	enormously	DF0101	500	laptop
4	4592	Maria	hugely	DF0101	500	laptop
4	3494	David	super	0404B4	100	coffee maker
5	7134	Patricia	vastly	31B404	140	coffee maker
5	3734	Michael	quite	31B404	125	coffee maker
5	4622	Linda	extremely	31B404	200	coffee maker
5	5183	John	very	31B404	157	coffee maker
5	3583	Jennifer	horribly	31B404	210	coffee maker
5	8439	Sally	excessively	0404B4	1600	laptop
5	4759	Linda	crazy	0404B4	1653	laptop
5	5751	Robert	crazy	DF0101	3643	watch
5	5751	Maria	horribly	31B404	204	coffee maker
5	4130	Richard	vastly	0404B4	1400	laptop
5	6620	Sally	quite	DF0101	900	watch
5	4887	William	extremely	0404B4	1200	laptop
5	4296	Sally	wildly	DF0101	5000	watch
5	3206	William	super	DF0101	7000	watch
5	3167	John	vastly	DF0101	5000	watch
5	3751	James	very	DF0101	3257	watch
5	6759	Linda	exceedingly	DF0101	5435	watch
5	3944	Michael	insanely	31B404	211	coffee maker
5	4593	Maria	insanely	31B404	214	coffee maker
5	3236	Jennifer	really	0404B4	900	laptop
5	3974	Elizabeth	crazy	0404B4	1087	laptop
5	7119	Susan	exceedingly	0404B4	1231	laptop
5	4007	Barbara	wildly	0404B4	1309	laptop
5	4024	Elizabeth	enormously	0404B4	1400	laptop
5	3047	Jennifer	uncommonly	0404B4	800	laptop
5	3039	Elizabeth	horribly	31B404	221	coffee maker
5	5439	Mary	hugely	DF0101	8762	watch
5	5631	William		31B404	150	coffee maker
5	3487	Tim	enormously	DF0101	6432	watch
5	2816	David	extremely	DF0101	4567	watch
5	2551	James	exceedingly	DF0101	7543	watch
5	2941	Maria	insanely	DF0101	8553	watch
5	4617	Robert	excessively	31B404	202	coffee maker
5	3615	Susan	super	DF0101	7643	watch
5	3807	Patricia	hugely	0404B4	1200	laptop
5	7096	Susan	wildly	31B404	202	coffee maker
5	4511	Tim		31B404	153	coffee maker
5	2919	Michael	really	0404B4	90	laptop
5	3855	Charles	really	0404B4	905	laptop
5	3759	Mary	terribly	31B404	185	coffee maker
5	3407	David	excessively	31B404	196	coffee maker
5	3055	Richard	uncommonly	DF0101	7532	watch
5	3256	James	uncommonly	DF0101	8534	watch
5	4686	Barbara	terribly	0404B4	1104	laptop
5	4160	John		DF0101	4821	watch
5	4377	David	quite	0404B4	876	laptop
5	3932	Robert	hugely	31B404	219	coffee maker
5	4216	Charles	super	0404B4	1567	laptop
5	3319	Patricia	very	0404B4	1297	laptop
5	3368	Mary	terribly	31B404	210	coffee maker
5	3264	Richard	enormously	DF0101	8764	watch
6	9762	Tim	terribly	DF0101	6.50	coffee maker
6	6173	Jennifer		0404B4	700	laptop
6	5406	Mary	terribly	DF0101	55	coffee maker
6	5076	Barbara	uncommonly	0404B4	800	laptop
6	6219	Elizabeth	enormously	31B404	250	watch
6	6584	Sally	super	DF0101	95	coffee maker
6	7976	Elizabeth	uncommonly	DF0101	100	coffee maker
6	5208	Jennifer		31B404	100	watch
6	5385	Patricia	excessively	31B404	500	watch
6	5268	Michael	very	DF0101	125	coffee maker
6	5765	Mary	enormously	31B404	500	watch
6	7815	Linda	vastly	DF0101	125	coffee maker
6	12364	Patricia	really	DF0101	100	coffee maker
6	10175	Michael	vastly	DF0101	135	coffee maker
6	5632	John	excessively	DF0101	150	coffee maker
6	4857	David	very	31B404	200	watch
6	5116	James	extremely	0404B4	800	laptop
6	9740	David	exceedingly	31B404	350	watch
6	5438	Robert	hugely	DF0101	125	coffee maker
6	8108	Robert	hugely	0404B4	800	laptop
6	4797	Maria	crazy	DF0101	200	coffee maker
6	4673	Sally	wildly	31B404	750	watch
6	4989	Tim	super	0404B4	800	laptop
6	6676	William	horribly	0404B4	900	laptop
6	5681	David	extremely	DF0101	150	coffee maker
6	6901	Richard	crazy	0404B4	900	laptop
6	7276	Michael	really	0404B4	750	laptop
6	10260	Tim	hugely	31B404	500	watch
6	8499	John	really	0404B4	900	laptop
6	6204	Robert	enormously	31B404	750	watch
6	6766	Maria	crazy	0404B4	950	laptop
6	7135	Sally	insanely	DF0101	175	coffee maker
6	6885	Linda	uncommonly	31B404	750	watch
6	5308	Linda	wildly	0404B4	900	laptop
6	4758	James	horribly	0404B4	950	laptop
6	4818	Jennifer	exceedingly	31B404	750	watch
6	4391	James	excessively	31B404	800	watch
6	5266	Barbara	vastly	0404B4	900	laptop
6	4579	Patricia	horribly	0404B4	950	laptop
6	5736	Mary	extremely	0404B4	900	laptop
6	5336	Charles	terribly	DF0101	150	coffee maker
6	5095	Maria	wildly	0404B4	1000	laptop
6	4737	Charles	quite	31B404	850	watch
6	7160	William	quite	0404B4	1000	laptop
6	7490	Susan	quite	DF0101	195	coffee maker
6	5352	Richard	insanely	31B404	900	watch
6	7588	John	exceedingly	31B404	800	watch
6	5853	William	super	DF0101	175	coffee maker
6	6037	Susan		31B404	200	watch
6	4791	Charles	very	DF0101	100	coffee maker
6	6956	Susan	insanely	31B404	750	watch
7	14032	Linda	terribly	DF0101	550	laptop
7	9806	John	super	DF0101	550	laptop
7	9553	Mary	enormously	0404B4	120	coffee maker
7	7411	James	vastly	DF0101	350	laptop
7	9334	Patricia	horribly	0404B4	150	coffee maker
7	7271	Maria	hugely	0404B4	110	coffee maker
7	5425	Elizabeth	super	0404B4	120	coffee maker
7	9027	Sally	uncommonly	0404B4	115	coffee maker
7	5818	Linda	excessively	31B404	60	watch
7	4381	William	insanely	31B404	120	watch
7	16931	Michael	vastly	DF0101	500	laptop
7	6431	Richard	quite	31B404	70	watch
7	22842	Tim	exceedingly	DF0101	500	laptop
7	4748	John	hugely	DF0101	400	laptop
7	8560	Jennifer	enormously	0404B4	140	coffee maker
7	7224	Charles	insanely	DF0101	600	laptop
7	4972	John	crazy	DF0101	500	laptop
7	4180	Susan		31B404	50	watch
7	5408	Barbara	extremely	31B404	100	watch
7	4832	William	extremely	31B404	120	watch
7	5006	Sally	vastly	0404B4	75	coffee maker
7	5907	Robert	hugely	DF0101	500	laptop
7	5613	Patricia		31B404	50	watch
7	5643	Richard	enormously	31B404	120	watch
7	7485	Susan	wildly	DF0101	550	laptop
7	6145	Maria	horribly	DF0101	550	laptop
7	4901	Charles		31B404	65	watch
7	6575	Mary	super	0404B4	120	coffee maker
7	4713	Barbara	insanely	DF0101	550	laptop
7	6092	Michael	excessively	31B404	145	watch
7	7976	Elizabeth	really	0404B4	75	coffee maker
7	8298	Robert	really	0404B4	85	coffee maker
7	7919	Tim	wildly	0404B4	60	coffee maker
7	4275	Susan	terribly	0404B4	100	coffee maker
7	35646	Jennifer	very	DF0101	450	laptop
7	8725	Tim	terribly	31B404	120	watch
7	5404	Robert	really	0404B4	90	coffee maker
7	5441	Elizabeth	excessively	31B404	75	watch
7	6008	James	quite	0404B4	65	coffee maker
7	6809	Michael	crazy	31B404	120	watch
7	8457	Jennifer	uncommonly	DF0101	550	laptop
7	9554	David	very	31B404	95	watch
7	4007	David	quite	0404B4	75	coffee maker
7	5310	Sally	exceedingly	0404B4	120	coffee maker
7	3355	Barbara	very	31B404	75	watch
7	6686	Charles	exceedingly	DF0101	600	laptop
7	13539	Mary	wildly	DF0101	500	laptop
7	12513	Linda	crazy	31B404	70	watch
7	4461	Richard	uncommonly	0404B4	100	coffee maker
7	6610	Patricia	extremely	31B404	90	watch
7	4503	Maria	horribly	DF0101	550	laptop
8	7830	Sally		DF0101	100	coffee maker
8	6790	Maria	enormously	31B404	2000	laptop
8	7392	Jennifer		31B404	200	laptop
8	9591	Jennifer	crazy	0404B4	100	watch
8	7111	Tim	excessively	31B404	2000	laptop
8	4968	Charles	vastly	31B404	2000	laptop
8	3871	John	really	0404B4	150	watch
8	8048	Robert	horribly	31B404	2000	laptop
8	5447	Mary	excessively	DF0101	75	coffee maker
8	6048	Sally	crazy	DF0101	100	coffee maker
8	8398	Richard	quite	0404B4	70	watch
8	7175	William	exceedingly	0404B4	100	watch
8	5744	James	hugely	31B404	2000	laptop
8	5629	Barbara	extremely	0404B4	120	watch
8	12607	William	enormously	DF0101	120	coffee maker
8	3223	Maria	terribly	31B404	2000	laptop
8	6730	James	really	DF0101	100	coffee maker
8	3499	David	excessively	DF0101	120	coffee maker
8	7696	Patricia	insanely	0404B4	150	watch
8	8152	Tim	very	0404B4	100	watch
8	3839	Linda	really	DF0101	100	coffee maker
8	4239	Maria	horribly	31B404	2000	laptop
8	3505	Mary	vastly	31B404	2000	laptop
8	11254	Susan	hugely	0404B4	100	watch
8	5951	Mary	super	31B404	1500	laptop
8	7767	Charles		31B404	1500	laptop
8	4277	Patricia	uncommonly	0404B4	100	watch
8	3615	Barbara	quite	31B404	2000	laptop
8	4319	Elizabeth	very	31B404	2000	laptop
8	4775	Susan	vastly	31B404	2000	laptop
8	8367	Charles	super	DF0101	100	coffee maker
8	3533	Michael	very	DF0101	100	coffee maker
8	5823	Sally	wildly	DF0101	120	coffee maker
8	4176	Susan	uncommonly	0404B4	100	watch
8	3475	Patricia	exceedingly	31B404	2000	laptop
8	8425	Robert	exceedingly	0404B4	120	watch
8	3239	Michael	wildly	DF0101	150	coffee maker
8	11017	Richard	quite	DF0101	100	coffee maker
8	3908	James	wildly	0404B4	150	watch
8	4579	Barbara	hugely	0404B4	120	watch
8	3583	Elizabeth	extremely	0404B4	120	watch
8	8949	Michael	terribly	DF0101	100	coffee maker
8	3187	David	horribly	DF0101	100	coffee maker
8	2764	Linda	crazy	DF0101	100	coffee maker
8	10319	Jennifer	uncommonly	DF0101	120	coffee maker
8	5360	Richard	terribly	0404B4	120	watch
8	7944	Elizabeth	insanely	0404B4	130	watch
8	5143	Tim	extremely	0404B4	100	watch
8	5167	David	super	31B404	2000	laptop
8	14385	Robert	insanely	DF0101	150	coffee maker
8	12455	John	enormously	31B404	2000	laptop
9	5239	Linda	crazy	31B404	200	coffee maker
9	9059	Maria	wildly	DF0101	999	laptop
9	7059	Sally	wildly	31B404	250	coffee maker
9	6286	Maria	terribly	0404B4	300	watch
9	4947	William	excessively	0404B4	300	watch
9	6681	Robert		DF0101	900	laptop
9	6162	Sally	insanely	31B404	400	coffee maker
9	6549	Linda	uncommonly	0404B4	300	watch
9	8600	Richard	vastly	0404B4	330	watch
9	5830	Richard	extremely	DF0101	900	laptop
9	7455	David	crazy	31B404	250	coffee maker
9	4593	Patricia	vastly	DF0101	900	laptop
9	4647	Jennifer	very	31B404	200	coffee maker
9	7804	James	enormously	31B404	250	coffee maker
9	7474	Susan	exceedingly	31B404	225	coffee maker
9	3936	David	hugely	DF0101	900	laptop
9	6251	Michael	really	0404B4	299	watch
9	4459	Elizabeth	really	DF0101	800	laptop
9	4806	Barbara	super	DF0101	800	laptop
9	4924	Tim	hugely	0404B4	300	watch
9	3779	John	uncommonly	DF0101	1000	laptop
9	4132	Barbara	hugely	31B404	350	coffee maker
9	3662	William	uncommonly	0404B4	300	watch
9	3306	Charles	very	DF0101	900	laptop
9	4982	Elizabeth	super	DF0101	950	laptop
9	6705	Tim	horribly	31B404	250	coffee maker
9	4006	Mary	extremely	31B404	200	coffee maker
9	5854	Mary	excessively	DF0101	950	laptop
9	5472	Barbara	vastly	0404B4	350	watch
9	3944	Tim	quite	0404B4	299	watch
9	5710	James		DF0101	900	laptop
9	4188	Linda	horribly	31B404	300	coffee maker
9	3616	Robert	quite	0404B4	300	watch
9	3864	Jennifer		DF0101	800	laptop
9	3664	Richard	wildly	31B404	300	coffee maker
9	6628	Maria	extremely	DF0101	999	laptop
9	3814	Robert	very	0404B4	299	watch
9	4340	Sally	terribly	0404B4	350	watch
9	6640	Elizabeth	excessively	31B404	350	coffee maker
9	4115	Susan	insanely	31B404	350	coffee maker
9	3901	Mary	horribly	31B404	360	coffee maker
9	4326	Susan	enormously	0404B4	300	watch
9	3679	Charles	terribly	0404B4	350	watch
9	7389	John	exceedingly	31B404	300	coffee maker
9	2894	John	quite	DF0101	900	laptop
9	2801	Michael	really	31B404	300	coffee maker
9	3428	James	crazy	DF0101	999	laptop
9	4162	Patricia	super	DF0101	900	laptop
9	4165	Charles	insanely	0404B4	399	watch
9	3265	Jennifer	enormously	0404B4	399	watch
9	3021	William	exceedingly	0404B4	399	watch
10	4518	Robert		31B404	200	coffee maker
10	3950	Maria	terribly	0404B4	500	watch
10	4904	Patricia		0404B4	100	watch
10	4455	William	excessively	31B404	400	coffee maker
10	3807	Susan	quite	31B404	150	coffee maker
10	8328	James	super	0404B4	1000	watch
10	3983	Robert	vastly	DF0101	3000	laptop
10	3992	Maria	super	0404B4	500	watch
10	5263	James		0404B4	200	watch
10	3287	David	enormously	DF0101	5000	laptop
10	3033	John	really	DF0101	2000	laptop
10	2673	John	very	31B404	300	coffee maker
10	3965	Elizabeth	hugely	DF0101	4000	laptop
10	4431	Mary	hugely	31B404	300	coffee maker
10	2512	Jennifer	extremely	0404B4	100	watch
10	2856	Patricia	very	0404B4	100	watch
10	2959	Sally	terribly	0404B4	200	watch
10	2583	Barbara	really	31B404	400	coffee maker
10	3424	Jennifer	wildly	0404B4	5000	watch
10	3918	David	uncommonly	0404B4	1000	watch
10	4256	James	insanely	0404B4	7000	watch
10	6215	Jennifer	horribly	DF0101	4000	laptop
10	3047	Susan	uncommonly	31B404	300	coffee maker
10	2159	Susan	extremely	31B404	400	coffee maker
10	3312	John	uncommonly	DF0101	3000	laptop
10	2673	Elizabeth	vastly	31B404	300	coffee maker
10	2679	Barbara	wildly	DF0101	4000	laptop
10	3279	Tim	excessively	31B404	400	coffee maker
10	5407	Michael	vastly	DF0101	4000	laptop
10	3518	David	terribly	0404B4	400	watch
10	2528	Linda	horribly	31B404	300	coffee maker
10	3157	Mary	wildly	31B404	400	coffee maker
10	3296	Richard	exceedingly	0404B4	7000	watch
10	3199	Michael	quite	DF0101	2000	laptop
10	3135	Mary	really	0404B4	100	watch
10	2703	Charles	crazy	31B404	500	coffee maker
10	3232	Robert	insanely	0404B4	7000	watch
10	3279	Linda	enormously	DF0101	5000	laptop
10	3945	Charles	extremely	31B404	400	coffee maker
10	2773	Sally	exceedingly	DF0101	5000	laptop
10	2112	Richard	quite	31B404	400	coffee maker
10	2631	William	excessively	DF0101	5000	laptop
10	2888	Barbara	enormously	DF0101	4000	laptop
10	3527	Patricia	horribly	31B404	400	coffee maker
10	2456	Charles	exceedingly	DF0101	5000	laptop
10	2224	Michael	crazy	DF0101	4000	laptop
10	2839	Tim	super	DF0101	4000	laptop
10	4231	Linda	crazy	DF0101	3000	laptop
10	2729	Sally	very	0404B4	200	watch
10	4447	Tim	hugely	0404B4	300	watch
10	4351	Elizabeth	insanely	31B404	500	coffee maker
11	10977	Susan	enormously	31B404	1800	laptop
11	5518	Elizabeth	uncommonly	0404B4	95	coffee maker
11	5727	Tim	insanely	31B404	1250	laptop
11	7605	David	very	DF0101	225	watch
11	24947	Maria	super	0404B4	140	coffee maker
11	4131	Barbara	extremely	DF0101	350	watch
11	8518	David	exceedingly	0404B4	350	coffee maker
11	3997	Maria	insanely	31B404	1250	laptop
11	8319	Linda	excessively	0404B4	175	coffee maker
11	12655	Mary	wildly	DF0101	450	watch
11	4393	Charles	very	DF0101	175	watch
11	3855	Richard	crazy	31B404	1500	laptop
11	3943	John	enormously	31B404	1900	laptop
11	3998	Barbara	uncommonly	DF0101	500	watch
11	30136	Patricia	insanely	DF0101	350	watch
11	3431	Barbara	terribly	DF0101	200	watch
11	3609	Susan	wildly	0404B4	225	coffee maker
11	5111	Jennifer	hugely	31B404	1000	laptop
11	30918	Charles	extremely	0404B4	290	coffee maker
11	79629	Robert	quite	31B404	1200	laptop
11	3607	John		DF0101	150	watch
11	4879	Patricia	extremely	DF0101	370	watch
11	3696	Jennifer	uncommonly	31B404	2500	laptop
11	3470	Linda	hugely	31B404	1500	laptop
11	6047	Michael	really	DF0101	180	watch
